,var,code,label,whereClause
1,lc1,'A11','Buildings with 1 to 3 floors',NA
2,lc1,'A12','Buildings with more than 3 floors',NA
3,lc1,'A13','Greenhouses',NA
4,lc1,'A21','Non built-up area features',NA
5,lc1,'A22','Non built-up linear features',NA
6,lc1,'B11','Common wheat',NA
7,lc1,'B12','Durum wheat',NA
8,lc1,'B13','Barley',NA
9,lc1,'B14','Rye',NA
10,lc1,'B15','Oats',NA
11,lc1,'B16','Maize',NA
12,lc1,'B17','Rice',NA
13,lc1,'B18','Triticale',NA
14,lc1,'B19','Other cereals',NA
15,lc1,'B21','Potatoes',NA
16,lc1,'B22','Sugar beet',NA
17,lc1,'B23','Other root crops',NA
18,lc1,'B31','Sunflower',NA
19,lc1,'B32','Rape and turnip rape',NA
20,lc1,'B33','Soya',NA
21,lc1,'B34','Cotton',NA
22,lc1,'B35','Other fibre and oleaginous crops',NA
23,lc1,'B36','Tobacco',NA
24,lc1,'B37','Other non-permanent industrial crops',NA
25,lc1,'B41','Dry pulses',NA
26,lc1,'B42','Tomatoes',NA
27,lc1,'B43','Other fresh vegetables',NA
28,lc1,'B44','Floriculture and ornamental plants',NA
29,lc1,'B45','Strawberries',NA
30,lc1,'B51','Clovers',NA
31,lc1,'B52','Lucerne',NA
32,lc1,'B53','Other leguminous and mixtures for fodder',NA
33,lc1,'B54','Mixed cereals for fodder',NA
34,lc1,'B55','Temporary grasslands',NA
35,lc1,'B71','Apple fruit',NA
36,lc1,'B72','Pear fruit',NA
37,lc1,'B73','Cherry fruit',NA
38,lc1,'B74','Nuts trees',NA
39,lc1,'B75','Other fruit trees and berries',NA
40,lc1,'B76','Oranges',NA
41,lc1,'B77','Other citrus fruit',NA
42,lc1,'B81','Olive groves',NA
43,lc1,'B82','Vineyards',NA
44,lc1,'B83','Nurseries',NA
45,lc1,'B84','Permanent industrial crops',NA
46,lc1,'BX1','Arable land (only PI)',NA
47,lc1,'BX2','Permanent crops (only PI)',NA
48,lc1,'C10','Broadleaved woodland',NA
49,lc1,'C20','Coniferous woodland',NA
50,lc1,'C30','Mixed woodland',NA
51,lc1,'D10','Shrubland with sparse tree cover',NA
52,lc1,'D20','Shrubland without tree cover',NA
53,lc1,'E10','Grassland with sparse tree/shrub cover',NA
54,lc1,'E20','Grassland without tree/shrub cover',NA
55,lc1,'E30','Spontaneously vegetated surfaces',NA
56,lc1,'F00','Bare land',NA
57,lc1,'F40','Other bare soil',NA
58,lc1,'G10','Inland water bodies',NA
59,lc1,'G20','Inland running water',NA
60,lc1,'G30','Transitional water bodies',NA
61,lc1,'G50',"'Glaciers, permanent snow'",NA
62,lc1,'H11','Inland marshes',NA
63,lc1,'H12','Peatbogs',NA
